epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1650.99,1.43559,1.66368,0.00936,0.72369,0.69914,0.76717,0.50289,1.24106,1.36724,0.00771,0.0011882,0.0011882,0.0011882
43,1690.27,1.34026,1.42737,0.00755,0.71177,0.69361,0.77316,0.50896,1.22095,1.32795,0.00769,0.0011684,0.0011684,0.0011684
44,1734.7,1.51436,1.68117,0.01024,0.73156,0.70572,0.76678,0.49563,1.25506,1.31578,0.00798,0.0011486,0.0011486,0.0011486
45,1788.46,1.35527,1.43233,0.00822,0.72285,0.69619,0.75999,0.48212,1.30322,1.34929,0.008,0.0011288,0.0011288,0.0011288
46,1834.35,1.30336,1.57668,0.00872,0.73949,0.70319,0.78239,0.51996,1.24891,1.27011,0.00775,0.001109,0.001109,0.001109
47,1889.22,1.50525,2.08504,0.02395,0.7573,0.70858,0.7989,0.53715,1.215,1.24031,0.00772,0.0010892,0.0010892,0.0010892
48,1937.19,1.38782,1.73169,0.00872,0.75951,0.6992,0.81016,0.55743,1.19039,1.19076,0.00739,0.0010694,0.0010694,0.0010694
49,1984.19,1.42937,1.54486,0.00715,0.75604,0.73506,0.81313,0.55842,1.1744,1.15811,0.00698,0.0010496,0.0010496,0.0010496
50,2028.97,1.3645,1.34914,0.00718,0.75807,0.751,0.82456,0.54547,1.20153,1.1649,0.00713,0.0010298,0.0010298,0.0010298
51,2074.08,1.35429,1.40561,0.00755,0.76204,0.73999,0.81692,0.55308,1.17633,1.19556,0.00703,0.00101,0.00101,0.00101
52,2119.64,1.21606,1.28272,0.00672,0.78261,0.74303,0.82735,0.55776,1.16762,1.21331,0.007,0.0009902,0.0009902,0.0009902
53,2165.24,1.44429,1.40444,0.00715,0.79854,0.73904,0.83731,0.56614,1.17054,1.14548,0.0069,0.0009704,0.0009704,0.0009704
54,2210.53,1.29466,1.28291,0.00749,0.79216,0.76693,0.85384,0.57654,1.18049,1.05735,0.00673,0.0009506,0.0009506,0.0009506
55,2257.27,1.24743,1.33487,0.00767,0.78961,0.77754,0.85468,0.58311,1.17974,1.04304,0.00708,0.0009308,0.0009308,0.0009308
56,2303.43,1.39552,1.34613,0.00684,0.80723,0.76745,0.85603,0.57559,1.19581,1.05472,0.0077,0.000911,0.000911,0.000911
57,2349.25,1.30639,1.51678,0.00851,0.81309,0.77291,0.85752,0.58198,1.17694,1.04069,0.00741,0.0008912,0.0008912,0.0008912
58,2397.59,1.32978,1.38498,0.00831,0.79572,0.77597,0.86074,0.58628,1.11782,1.01478,0.00651,0.0008714,0.0008714,0.0008714
59,2443.07,1.19821,1.31857,0.00811,0.7965,0.7749,0.8573,0.59018,1.10516,0.98905,0.00627,0.0008516,0.0008516,0.0008516
60,2484.33,1.24083,1.28172,0.00657,0.8086,0.74104,0.86359,0.60767,1.07812,0.9508,0.00641,0.0008318,0.0008318,0.0008318
61,2526.17,1.23708,1.37284,0.00825,0.81546,0.75701,0.86586,0.61456,1.0805,0.93341,0.00631,0.000812,0.000812,0.000812
62,2566.05,1.27312,1.27169,0.00969,0.84227,0.76096,0.87304,0.6122,1.10638,0.91796,0.00641,0.0007922,0.0007922,0.0007922
63,2605.94,1.25945,1.18915,0.00739,0.83268,0.75342,0.87253,0.61725,1.09334,0.92005,0.00633,0.0007724,0.0007724,0.0007724
64,2646.48,1.29443,1.23204,0.00786,0.83264,0.76295,0.8709,0.62208,1.06415,0.90008,0.00599,0.0007526,0.0007526,0.0007526
65,2687.49,1.34537,1.32062,0.00771,0.81585,0.77661,0.8704,0.62066,1.07937,0.91342,0.00617,0.0007328,0.0007328,0.0007328
66,2727.67,1.18117,1.14744,0.00812,0.80895,0.75913,0.86908,0.61339,1.10253,0.91857,0.00643,0.000713,0.000713,0.000713
67,2767.13,1.08391,1.05549,0.00722,0.85688,0.7251,0.86842,0.60844,1.1113,0.92608,0.00673,0.0006932,0.0006932,0.0006932
68,2807.33,1.29368,1.21997,0.0069,0.82618,0.79084,0.88573,0.61082,1.13915,0.88481,0.00703,0.0006734,0.0006734,0.0006734
69,2854.76,1.23078,1.10907,0.00747,0.83591,0.7814,0.88711,0.62549,1.10081,0.8642,0.00657,0.0006536,0.0006536,0.0006536
70,2900.53,1.2123,1.13714,0.00645,0.85586,0.76693,0.88266,0.6443,1.02565,0.85393,0.00569,0.0006338,0.0006338,0.0006338
71,2943.31,1.30581,1.35095,0.00766,0.82256,0.78491,0.88031,0.64214,1.03146,0.85688,0.00565,0.000614,0.000614,0.000614
72,2984.63,1.25437,1.0644,0.00719,0.77512,0.8008,0.87894,0.63964,1.03004,0.85967,0.00568,0.0005942,0.0005942,0.0005942
73,3025.89,1.11279,1.03297,0.00646,0.84999,0.74494,0.87833,0.63924,1.03238,0.85253,0.00567,0.0005744,0.0005744,0.0005744
74,3068.03,1.2933,1.24666,0.00812,0.83745,0.78088,0.88489,0.64958,1.01476,0.85151,0.00555,0.0005546,0.0005546,0.0005546
75,3110.16,1.22707,1.26212,0.00792,0.82009,0.80813,0.8895,0.65588,0.99001,0.84546,0.00534,0.0005348,0.0005348,0.0005348
76,3153.69,1.272,1.05847,0.00614,0.82274,0.78486,0.89344,0.66105,0.98804,0.82693,0.00541,0.000515,0.000515,0.000515
77,3200.05,1.12631,1.00468,0.00676,0.84421,0.78088,0.89595,0.66611,0.9937,0.81081,0.00554,0.0004952,0.0004952,0.0004952
78,3252.28,1.18145,0.98555,0.00666,0.89293,0.74755,0.89984,0.67255,0.98468,0.77431,0.00553,0.0004754,0.0004754,0.0004754
79,3307.88,1.06808,1.01469,0.00702,0.90716,0.73506,0.90043,0.67474,0.97812,0.76736,0.00553,0.0004556,0.0004556,0.0004556
80,3355.03,1.18192,1.0541,0.00673,0.82381,0.80876,0.90175,0.67494,0.97956,0.76672,0.00563,0.0004358,0.0004358,0.0004358
81,3400.49,1.28066,1.08927,0.00612,0.82807,0.80876,0.90136,0.67154,0.98543,0.76688,0.0056,0.000416,0.000416,0.000416
82,3447.68,1.16085,1.06778,0.00582,0.81079,0.83068,0.90065,0.66734,0.9777,0.78604,0.00538,0.0003962,0.0003962,0.0003962
83,3492.54,1.27297,1.05661,0.00595,0.81735,0.80876,0.90109,0.66957,0.9668,0.78672,0.00524,0.0003764,0.0003764,0.0003764
84,3535.03,1.12024,1.08869,0.00857,0.86667,0.78287,0.90077,0.67496,0.94308,0.78117,0.00508,0.0003566,0.0003566,0.0003566
85,3575.52,1.06466,0.95517,0.00629,0.83994,0.79449,0.90138,0.67768,0.93469,0.77422,0.00509,0.0003368,0.0003368,0.0003368
86,3616.39,1.18888,1.00478,0.00722,0.83952,0.78685,0.89922,0.67897,0.91559,0.7634,0.00497,0.000317,0.000317,0.000317
87,3659.58,1.14993,1.06885,0.00591,0.83674,0.79633,0.89937,0.68073,0.91344,0.75395,0.00491,0.0002972,0.0002972,0.0002972
88,3709.74,1.037,0.91825,0.00569,0.88132,0.76921,0.90241,0.68346,0.92951,0.74657,0.00501,0.0002774,0.0002774,0.0002774
89,3747.52,1.05471,0.91562,0.00668,0.88308,0.76693,0.90232,0.68286,0.93958,0.74713,0.00515,0.0002576,0.0002576,0.0002576
90,3782.97,1.10089,0.88601,0.00554,0.86862,0.77706,0.90681,0.68464,0.9396,0.73866,0.00513,0.0002378,0.0002378,0.0002378
91,3817.24,1.04531,0.91441,0.00716,0.86938,0.77689,0.90686,0.68758,0.9326,0.74081,0.00501,0.000218,0.000218,0.000218
92,3858.05,1.03212,0.89692,0.00568,0.86463,0.79084,0.90678,0.68667,0.92532,0.74102,0.00489,0.0001982,0.0001982,0.0001982
93,3905.54,1.06159,0.85918,0.00609,0.87521,0.78236,0.9073,0.68904,0.92383,0.74133,0.0049,0.0001784,0.0001784,0.0001784
94,3952.83,1.03468,0.89357,0.00635,0.84631,0.79482,0.90752,0.68516,0.92938,0.74647,0.00498,0.0001586,0.0001586,0.0001586
95,4000.45,1.08134,0.84452,0.00932,0.85011,0.79088,0.90786,0.68302,0.92652,0.75259,0.00495,0.0001388,0.0001388,0.0001388
96,4044.55,0.94025,0.83914,0.00659,0.88485,0.78068,0.90863,0.68472,0.92503,0.74381,0.00488,0.000119,0.000119,0.000119
97,4078.04,1.16581,1.18958,0.00611,0.8783,0.79071,0.90843,0.68296,0.92134,0.74709,0.00485,9.92e-05,9.92e-05,9.92e-05
98,4111.79,1.01034,0.83648,0.00596,0.86696,0.8008,0.91084,0.68909,0.91846,0.73841,0.00485,7.94e-05,7.94e-05,7.94e-05
99,4145.72,1.07367,0.8979,0.00728,0.86537,0.80666,0.91091,0.6894,0.91243,0.74438,0.00481,5.96e-05,5.96e-05,5.96e-05
100,4179.74,1.03888,0.85264,0.00593,0.86592,0.80478,0.91144,0.69076,0.90948,0.74414,0.00476,3.98e-05,3.98e-05,3.98e-05
