epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0422,1.2523,5.3305,0.00871,0.00955,0.46813,0.0518,0.02867,1.17414,4.40235,0.00662,0.0001,0.0001,0.0001
2,57.949,1.29472,4.48093,0.00878,0.01183,0.57968,0.14651,0.08845,1.16306,4.3347,0.00671,0.00019822,0.00019822,0.00019822
3,84.9255,1.22495,4.18522,0.0115,0.01276,0.6255,0.14289,0.08687,1.1628,4.27605,0.00683,0.00027268,0.00027268,0.00027268
4,113.611,1.30261,4.54369,0.00988,0.01333,0.65339,0.14215,0.09167,1.11478,4.23053,0.00638,0.00032338,0.00032338,0.00032338
5,142.998,1.2348,3.5751,0.00757,0.0135,0.66135,0.14658,0.09511,1.13045,4.18118,0.00634,0.00035032,0.00035032,0.00035032
6,174.333,1.27949,3.46166,0.00903,0.01358,0.66534,0.15249,0.10342,1.10438,4.10796,0.00624,0.0003535,0.0003535,0.0003535
7,207.339,1.28333,4.01282,0.01022,0.01358,0.66534,0.16941,0.11606,1.10627,4.0497,0.00653,0.00033292,0.00033292,0.00033292
8,241.453,1.25266,4.70878,0.00822,0.01358,0.66534,0.18595,0.12736,1.15503,3.98744,0.00692,0.00028858,0.00028858,0.00028858
9,275.54,1.24072,3.58088,0.00879,0.0135,0.66135,0.19849,0.14012,1.15233,3.91477,0.00681,0.00022048,0.00022048,0.00022048
10,308.969,1.21641,3.15667,0.0083,0.13946,0.44163,0.2112,0.15174,1.14691,3.852,0.0067,0.00012862,0.00012862,0.00012862
